image_id,discard_reason,technical_warning_name
1161.png,demasiados componentes/células segmentadas,warning_too_many_components
1164.png,demasiados componentes/células segmentadas,warning_too_many_components
1165.png,demasiados componentes/células segmentadas,warning_too_many_components
1168.png,demasiados componentes/células segmentadas,warning_too_many_components
1170.png,demasiados componentes/células segmentadas,warning_too_many_components
1171.png,demasiados componentes/células segmentadas,warning_too_many_components
1172.png,demasiados componentes/células segmentadas,warning_too_many_components
1175.png,demasiados componentes/células segmentadas,warning_too_many_components
1176.png,demasiados componentes/células segmentadas,warning_too_many_components
1177.png,demasiados componentes/células segmentadas,warning_too_many_components
1181.png,demasiados componentes/células segmentadas,warning_too_many_components
1183.png,demasiados componentes/células segmentadas,warning_too_many_components
1186.png,demasiados componentes/células segmentadas,warning_too_many_components
1199.png,demasiados componentes/células segmentadas,warning_too_many_components
1203.png,demasiados componentes/células segmentadas,warning_too_many_components
1205.png,demasiados componentes/células segmentadas,warning_too_many_components
1207.png,demasiados componentes/células segmentadas,warning_too_many_components
1208.png,demasiados componentes/células segmentadas,warning_too_many_components
1214.png,demasiados componentes/células segmentadas,warning_too_many_components
1224.png,demasiados componentes/células segmentadas,warning_too_many_components
1235.png,demasiados componentes/células segmentadas,warning_too_many_components
1247.png,demasiados componentes/células segmentadas,warning_too_many_components
1249.png,demasiados componentes/células segmentadas,warning_too_many_components
1256.png,demasiados componentes/células segmentadas,warning_too_many_components
1259.png,demasiados componentes/células segmentadas,warning_too_many_components
1264.png,demasiados componentes/células segmentadas,warning_too_many_components
1267.png,demasiados componentes/células segmentadas,warning_too_many_components
1270.png,demasiados componentes/células segmentadas,warning_too_many_components
1276.png,demasiados componentes/células segmentadas,warning_too_many_components
1279.png,demasiados componentes/células segmentadas,warning_too_many_components
1282.png,demasiados componentes/células segmentadas,warning_too_many_components
1283.png,demasiados componentes/células segmentadas,warning_too_many_components
1285.png,demasiados componentes/células segmentadas,warning_too_many_components
1287.png,demasiados componentes/células segmentadas,warning_too_many_components
1288.png,demasiados componentes/células segmentadas,warning_too_many_components
1289.png,demasiados componentes/células segmentadas,warning_too_many_components
1291.png,demasiados componentes/células segmentadas,warning_too_many_components
1292.png,demasiados componentes/células segmentadas,warning_too_many_components
1293.png,demasiados componentes/células segmentadas,warning_too_many_components
1294.png,demasiados componentes/células segmentadas,warning_too_many_components
1295.png,demasiados componentes/células segmentadas,warning_too_many_components
1296.png,demasiados componentes/células segmentadas,warning_too_many_components
1297.png,demasiados componentes/células segmentadas,warning_too_many_components
1298.png,demasiados componentes/células segmentadas,warning_too_many_components
1299.png,demasiados componentes/células segmentadas,warning_too_many_components
1300.png,demasiados componentes/células segmentadas,warning_too_many_components
1301.png,demasiados componentes/células segmentadas,warning_too_many_components
1302.png,demasiados componentes/células segmentadas,warning_too_many_components
1303.png,demasiados componentes/células segmentadas,warning_too_many_components
1304.png,demasiados componentes/células segmentadas,warning_too_many_components
1305.png,demasiados componentes/células segmentadas,warning_too_many_components
1306.png,demasiados componentes/células segmentadas,warning_too_many_components
1307.png,demasiados componentes/células segmentadas,warning_too_many_components
1308.png,demasiados componentes/células segmentadas,warning_too_many_components
1309.png,demasiados componentes/células segmentadas,warning_too_many_components
1310.png,demasiados componentes/células segmentadas,warning_too_many_components
1311.png,demasiados componentes/células segmentadas,warning_too_many_components
1312.png,demasiados componentes/células segmentadas,warning_too_many_components
1314.png,demasiados componentes/células segmentadas,warning_too_many_components
1315.png,demasiados componentes/células segmentadas,warning_too_many_components
1316.png,demasiados componentes/células segmentadas,warning_too_many_components
1318.png,demasiados componentes/células segmentadas,warning_too_many_components
1319.png,demasiados componentes/células segmentadas,warning_too_many_components
1321.png,demasiados componentes/células segmentadas,warning_too_many_components
1322.png,demasiados componentes/células segmentadas,warning_too_many_components
1325.png,demasiados componentes/células segmentadas,warning_too_many_components
1327.png,demasiados componentes/células segmentadas,warning_too_many_components
1328.png,demasiados componentes/células segmentadas,warning_too_many_components
